"x","Method","p","trait","p_cor","g_cor","Rhat"
"Results_At_1001/Gcor_001_all.csv","MegaLMM_0.50_",20842,"AT1G32570",0.234356882051548,0.329043590577759,1.00827286237389
"Results_At_1001/Gcor_001_all.csv","MegaLMM_1.00_",20842,"AT1G32570",0.272754381202278,0.212238583436407,0.999274285303113
"Results_At_1001/Gcor_001_all.csv","MegaLMM_2.00_",20842,"AT1G32570",0.276238645309799,0.229369871422404,0.999580530171442
"Results_At_1001/Gcor_001_all.csv","rrBLUP",20842,"AT1G32570",0.260748819155756,0.203131800069831,1.01579287767641
"Results_At_1001/Gcor_001_subset.csv","MTG2",4,"AT1G32570",0.223153345631806,0.138029852624095,0.999351067455165
"Results_At_1001/Gcor_001_subset.csv","MCMCglmm",4,"AT1G32570",0.250531090603237,0.174829943163351,0.998148542710605
"Results_At_1001/Gcor_001_subset.csv","phenix",4,"AT1G32570",0.19902867824366,0.0999855160079233,1.00373087890147
"Results_At_1001/Gcor_001_subset.csv","MegaLMM_0.50_",4,"AT1G32570",0.265142388531251,0.204605534090759,1.01800281409817
"Results_At_1001/Gcor_001_subset.csv","MegaLMM_1.00_",4,"AT1G32570",0.263691008565227,0.201906487076186,0.998509877742072
"Results_At_1001/Gcor_001_subset.csv","MegaLMM_2.00_",4,"AT1G32570",0.264732536160709,0.206062560585003,0.99882956904688
"Results_At_1001/Gcor_001_subset.csv","rrBLUP",4,"AT1G32570",0.260748819155756,0.19449188233356,1.00198670998805
"Results_At_1001/Gcor_001_subset.csv","MTG2",8,"AT1G32570",0.252499365770844,0.189569908160457,0.998194249216616
"Results_At_1001/Gcor_001_subset.csv","MCMCglmm",8,"AT1G32570",0.261796104787954,0.197495275075599,0.998736083098629
"Results_At_1001/Gcor_001_subset.csv","phenix",8,"AT1G32570",0.166352032596662,0.0707500565642446,1.00005732799331
"Results_At_1001/Gcor_001_subset.csv","MegaLMM_0.50_",8,"AT1G32570",0.267514946330684,0.206560488671129,1.00911209280999
"Results_At_1001/Gcor_001_subset.csv","MegaLMM_1.00_",8,"AT1G32570",0.267589064121841,0.21021074244066,1.01602455576228
"Results_At_1001/Gcor_001_subset.csv","MegaLMM_2.00_",8,"AT1G32570",0.268910100803785,0.207838183046038,0.999821022175702
"Results_At_1001/Gcor_001_subset.csv","rrBLUP",8,"AT1G32570",0.260748819155756,0.20034731692953,1.00058611390068
"Results_At_1001/Gcor_001_subset.csv","MTG2",16,"AT1G32570",0.238567188014543,0.153932111957557,1.00189221439136
"Results_At_1001/Gcor_001_subset.csv","MCMCglmm",16,"AT1G32570",0.267391129881175,0.215290761519619,1.00318784627362
"Results_At_1001/Gcor_001_subset.csv","phenix",16,"AT1G32570",0.177001468224133,0.0756849094745826,1.00904103679013
"Results_At_1001/Gcor_001_subset.csv","MegaLMM_0.50_",16,"AT1G32570",0.269442951437233,0.211605855030073,1.00010793631007
"Results_At_1001/Gcor_001_subset.csv","MegaLMM_1.00_",16,"AT1G32570",0.266145714639546,0.213177230182956,0.998030503034897
"Results_At_1001/Gcor_001_subset.csv","MegaLMM_2.00_",16,"AT1G32570",0.272023791507792,0.212496236606847,1.00178270406498
"Results_At_1001/Gcor_001_subset.csv","rrBLUP",16,"AT1G32570",0.260748819155756,0.197264794070589,1.00321794784704
"Results_At_1001/Gcor_001_subset.csv","MTG2",32,"AT1G32570",0.235275260610249,0.162858022308714,1.0041612788255
"Results_At_1001/Gcor_001_subset.csv","MCMCglmm",32,"AT1G32570",0.286204340625479,0.239121949486919,1.00407244330151
"Results_At_1001/Gcor_001_subset.csv","phenix",32,"AT1G32570",0.184281803402185,0.130481435478291,1.00249882138609
"Results_At_1001/Gcor_001_subset.csv","MegaLMM_0.50_",32,"AT1G32570",0.267564404856404,0.208348462470021,0.998308459237856
"Results_At_1001/Gcor_001_subset.csv","MegaLMM_1.00_",32,"AT1G32570",0.272820151340345,0.216141326834843,0.999351105624292
"Results_At_1001/Gcor_001_subset.csv","MegaLMM_2.00_",32,"AT1G32570",0.287433149520795,0.249667908862945,1.00028239566873
"Results_At_1001/Gcor_001_subset.csv","rrBLUP",32,"AT1G32570",0.260748819155756,0.201003796882828,1.00207036001913
"Results_At_1001/Gcor_001_subset.csv","MTG2",64,"AT1G32570",0.271869471522312,0.201339865301836,0.999204287770558
"Results_At_1001/Gcor_001_subset.csv","MCMCglmm",64,"AT1G32570",0.274712658119235,0.224919983686206,1.00167441050357
"Results_At_1001/Gcor_001_subset.csv","phenix",64,"AT1G32570",0.119400089622336,0.0579479668937184,0.99932434472791
"Results_At_1001/Gcor_001_subset.csv","MegaLMM_0.50_",64,"AT1G32570",0.274199473229466,0.222165806374784,1.00696181801334
"Results_At_1001/Gcor_001_subset.csv","MegaLMM_1.00_",64,"AT1G32570",0.275463276126174,0.230164154668143,0.998705513207993
"Results_At_1001/Gcor_001_subset.csv","MegaLMM_2.00_",64,"AT1G32570",0.270841412146947,0.217800441053178,1.00014547020784
"Results_At_1001/Gcor_001_subset.csv","rrBLUP",64,"AT1G32570",0.260748819155756,0.206089634620536,1.00810252742968
"Results_At_1001/Gcor_001_subset.csv","phenix",128,"AT1G32570",0.174512554496108,0.13901503238844,1.00535078175232
"Results_At_1001/Gcor_001_subset.csv","MegaLMM_0.50_",128,"AT1G32570",0.266607547084667,0.209850833700045,0.998296014234785
"Results_At_1001/Gcor_001_subset.csv","MegaLMM_1.00_",128,"AT1G32570",0.2669161331878,0.202961993217899,1.00351942093449
"Results_At_1001/Gcor_001_subset.csv","MegaLMM_2.00_",128,"AT1G32570",0.255088128079542,0.196443691264245,0.998875085318868
"Results_At_1001/Gcor_001_subset.csv","rrBLUP",128,"AT1G32570",0.260748819155756,0.20647851812099,1.00223114064196
"Results_At_1001/Gcor_001_subset.csv","phenix",256,"AT1G32570",0.219223462070754,0.218900869561985,0.998397046345051
"Results_At_1001/Gcor_001_subset.csv","MegaLMM_0.50_",256,"AT1G32570",0.267365584392415,0.204696456090255,0.999021272204949
"Results_At_1001/Gcor_001_subset.csv","MegaLMM_1.00_",256,"AT1G32570",0.27445102269303,0.232831987273997,0.998926843568004
"Results_At_1001/Gcor_001_subset.csv","MegaLMM_2.00_",256,"AT1G32570",0.282563175051782,0.240384837611613,0.998145996334418
"Results_At_1001/Gcor_001_subset.csv","rrBLUP",256,"AT1G32570",0.260748819155756,0.191581495764487,0.99812942175738
"Results_At_1001/Gcor_001_subset.csv","phenix",512,"AT1G32570",0.224259097093953,0.235588778458045,1.00519076255488
"Results_At_1001/Gcor_001_subset.csv","MegaLMM_0.50_",512,"AT1G32570",0.278880363147082,0.225618887615298,1.0009909856258
"Results_At_1001/Gcor_001_subset.csv","MegaLMM_1.00_",512,"AT1G32570",0.284226763007639,0.238598074787234,1.00059784052936
"Results_At_1001/Gcor_001_subset.csv","MegaLMM_2.00_",512,"AT1G32570",0.274126901933565,0.212493114010915,1.00819381990014
"Results_At_1001/Gcor_001_subset.csv","rrBLUP",512,"AT1G32570",0.260748819155756,0.202856666750527,0.998823604960344
"Results_At_1001/Gcor_001_subset.csv","MegaLMM_0.50_",1024,"AT1G32570",0.279822130910832,0.221203350884115,0.998480470296792
"Results_At_1001/Gcor_001_subset.csv","MegaLMM_1.00_",1024,"AT1G32570",0.276496769754464,0.228418291583967,0.999553056045613
"Results_At_1001/Gcor_001_subset.csv","MegaLMM_2.00_",1024,"AT1G32570",0.281078369586523,0.227484545687258,1.0017096574396
"Results_At_1001/Gcor_001_subset.csv","rrBLUP",1024,"AT1G32570",0.260748819155756,0.214469794448853,1.00158235478875
"Results_At_1001/Gcor_001_subset.csv","MegaLMM_0.50_",2048,"AT1G32570",0.281987715602536,0.238109511466637,0.999016936445967
"Results_At_1001/Gcor_001_subset.csv","MegaLMM_1.00_",2048,"AT1G32570",0.278839428344564,0.232526381900391,0.998516253501516
"Results_At_1001/Gcor_001_subset.csv","MegaLMM_2.00_",2048,"AT1G32570",0.279480712793019,0.233795510763015,1.00249610558672
"Results_At_1001/Gcor_001_subset.csv","rrBLUP",2048,"AT1G32570",0.260748819155756,0.202637873443704,0.999980094556356
"Results_At_1001/Gcor_001_subset.csv","MegaLMM_0.50_",4096,"AT1G32570",0.262679053593829,0.199861166259766,1.00318158384736
"Results_At_1001/Gcor_001_subset.csv","MegaLMM_1.00_",4096,"AT1G32570",0.266777442582402,0.207086279908034,1.0004032269775
"Results_At_1001/Gcor_001_subset.csv","MegaLMM_2.00_",4096,"AT1G32570",0.281178356477477,0.2252597777365,0.999298804028222
"Results_At_1001/Gcor_001_subset.csv","rrBLUP",4096,"AT1G32570",0.260748819155756,0.207657610729051,0.999966165715052
"Results_At_1001/Gcor_001_subset.csv","MegaLMM_0.50_",8192,"AT1G32570",0.212527247246914,0.179666453433226,1.00856330820601
"Results_At_1001/Gcor_001_subset.csv","MegaLMM_1.00_",8192,"AT1G32570",0.259567208379717,0.20715413063164,1.00158614987996
"Results_At_1001/Gcor_001_subset.csv","MegaLMM_2.00_",8192,"AT1G32570",0.280427942155597,0.230120354732711,1.01361528674266
"Results_At_1001/Gcor_001_subset.csv","rrBLUP",8192,"AT1G32570",0.260748819155756,0.19879563660976,1.0011645227342
"Results_At_1001/Gcor_002_all.csv","MegaLMM_0.50_",20842,"AT3G06880",0.401758389669389,0.323447296361115,1.0033499755498
"Results_At_1001/Gcor_002_all.csv","MegaLMM_1.00_",20842,"AT3G06880",0.833031231219609,0.940093190630658,1.05362059004384
"Results_At_1001/Gcor_002_all.csv","MegaLMM_2.00_",20842,"AT3G06880",0.846061738248084,0.958650813723572,1.0817003522683
"Results_At_1001/Gcor_002_all.csv","rrBLUP",20842,"AT3G06880",0.299849750101188,0.346964535723815,1.00144719445744
"Results_At_1001/Gcor_002_subset.csv","MTG2",4,"AT3G06880",0.56554290328682,0.830643359134219,1.0112361621938
"Results_At_1001/Gcor_002_subset.csv","MCMCglmm",4,"AT3G06880",0.567736348682427,0.768557057322347,1.02558821522874
"Results_At_1001/Gcor_002_subset.csv","phenix",4,"AT3G06880",0.500690079710448,0.699815358756303,0.999787676944157
"Results_At_1001/Gcor_002_subset.csv","MegaLMM_0.50_",4,"AT3G06880",0.56930875871138,0.828200797195134,1.00713123837438
