"File","X","Method","p","seed","G_RMSE_var","G_RMSE_G","G_cor_covs","R_RMSE_var","R_RMSE_G","R_cor_covs"
"Results_G_accuracy_At_1001/G_accuracy_201.csv",1,"MTG2",4,201,0.0585818191604172,0.0910064985135612,0.632073302391889,0.0717818930899485,0.0410715773144552,0.804202288369023
"Results_G_accuracy_At_1001/G_accuracy_201.csv",2,"MCMCglmm",4,201,0.0775516052724126,0.0721449260815688,0.709067532426253,0.0809825955240444,0.0334001922751723,0.927690879190646
"Results_G_accuracy_At_1001/G_accuracy_201.csv",3,"phenix",4,201,0.0608403583798091,0.0772835542741422,0.684527126180728,0.0728658617355011,0.0323846179410672,0.839886543532549
"Results_G_accuracy_At_1001/G_accuracy_201.csv",4,"MegaLMM",4,201,0.0572004994175188,0.0481066412926529,0.83187005409548,0.0668695589910075,0.0283065509918496,0.909540265938312
"Results_G_accuracy_At_1001/G_accuracy_201.csv",5,"MTG2",8,201,0.061020142735087,0.0850555609456534,0.622124951281035,0.0694592331528,0.0564149100947294,0.798370619344875
"Results_G_accuracy_At_1001/G_accuracy_201.csv",6,"MCMCglmm",8,201,0.0883644104495751,0.0614283152526791,0.687841252449793,0.0889336283176049,0.043221881875888,0.851924359551435
"Results_G_accuracy_At_1001/G_accuracy_201.csv",7,"phenix",8,201,0.0531424955591113,0.0826085828945706,0.638908640818556,0.0685798828613068,0.0539821065653902,0.801478809298975
"Results_G_accuracy_At_1001/G_accuracy_201.csv",8,"MegaLMM",8,201,0.06002819897833,0.0671246975616516,0.552058498865148,0.0702365374959384,0.0543338144138723,0.761101547297867
"Results_G_accuracy_At_1001/G_accuracy_201.csv",9,"MTG2",16,201,0.0793376767817328,0.0671911371741627,0.675033035736887,0.07503176709144,0.0481160091647604,0.808298034405433
"Results_G_accuracy_At_1001/G_accuracy_201.csv",10,"MCMCglmm",16,201,0.117306489583043,0.0494884741487972,0.797199821851606,0.102072935501992,0.0364592912122891,0.884990608016903
"Results_G_accuracy_At_1001/G_accuracy_201.csv",11,"phenix",16,201,0.0765446804123866,0.067408254474383,0.760783492290683,0.0783996788049432,0.0474430451256678,0.850115019032761
"Results_G_accuracy_At_1001/G_accuracy_201.csv",12,"MegaLMM",16,201,0.0765378377902532,0.0506428359951216,0.771666354523634,0.0557698214254298,0.0393003478938597,0.864743803782351
"Results_G_accuracy_At_1001/G_accuracy_201.csv",13,"MTG2",32,201,0.116802406450457,0.0623076975436784,0.555518082360896,0.133731587754188,0.058840750338613,0.691147580351341
"Results_G_accuracy_At_1001/G_accuracy_201.csv",14,"MCMCglmm",32,201,0.185638983140957,0.0487952032350016,0.763483795193107,0.144023657085901,0.0352862064990551,0.897557271782887
"Results_G_accuracy_At_1001/G_accuracy_201.csv",15,"phenix",32,201,0.0826290963634957,0.0616936830107601,0.753658410613666,0.0856023759077887,0.0421207470612291,0.868584730199574
"Results_G_accuracy_At_1001/G_accuracy_201.csv",16,"MegaLMM",32,201,0.0821766137708011,0.048827914679097,0.757101922882971,0.0655400352597736,0.0359335565488336,0.891871980506419
"Results_G_accuracy_At_1001/G_accuracy_201.csv",17,"MTG2",64,201,0.166671999238071,0.0676935545721079,0.285210799758342,0.202829761250574,0.0793087238460238,0.432642320538149
"Results_G_accuracy_At_1001/G_accuracy_201.csv",18,"MCMCglmm",64,201,0.30051145099237,0.0465446143042626,0.756482588499495,0.175141155934738,0.0379127898830339,0.903889241683948
"Results_G_accuracy_At_1001/G_accuracy_201.csv",19,"phenix",64,201,0.135351606888247,0.0625582340640155,0.741238622129384,0.0792698936693472,0.0424363980658797,0.87240252282699
"Results_G_accuracy_At_1001/G_accuracy_201.csv",20,"MegaLMM",64,201,0.0776281816189166,0.0404095112206303,0.820119494482649,0.0573738708858683,0.0356305838588556,0.911924342644559
"Results_G_accuracy_At_1001/G_accuracy_201.csv",21,"phenix",128,201,0.291351674668001,0.0753075429573106,0.762128441975315,0.0894503751281643,0.0424730488051845,0.880391274030039
"Results_G_accuracy_At_1001/G_accuracy_201.csv",22,"MegaLMM",128,201,0.0758430060206877,0.0389010992537532,0.869429437504672,0.0560681998827545,0.0333508431165643,0.928374832166871
"Results_G_accuracy_At_1001/G_accuracy_202.csv",1,"MTG2",4,202,0.113691955925459,0.0807978462136075,0.905462846717239,0.0629874811884264,0.0489120575333578,0.857695537147638
"Results_G_accuracy_At_1001/G_accuracy_202.csv",2,"MCMCglmm",4,202,0.167878613824234,0.0527276933368957,0.856905488279877,0.111361501884588,0.0273647578182821,0.905342853833813
"Results_G_accuracy_At_1001/G_accuracy_202.csv",3,"phenix",4,202,0.101339357651675,0.0808386152111828,0.894559062345588,0.0734044516309025,0.0484426321161471,0.847349287353268
"Results_G_accuracy_At_1001/G_accuracy_202.csv",4,"MegaLMM",4,202,0.101178929698758,0.0355081177405666,0.100580231674484,0.0558068285032434,0.0506595713526559,0.612981604962543
"Results_G_accuracy_At_1001/G_accuracy_202.csv",5,"MTG2",8,202,0.112048793410273,0.0689391701354548,0.48475848247418,0.0671134125264465,0.0523870994585751,0.863934530032365
"Results_G_accuracy_At_1001/G_accuracy_202.csv",6,"MCMCglmm",8,202,0.187927615440058,0.0453859086375013,0.50771795026875,0.0993720221945099,0.0344096390607782,0.927852007694634
"Results_G_accuracy_At_1001/G_accuracy_202.csv",7,"phenix",8,202,0.0921311161810543,0.0672380855348685,0.494693565345497,0.0795945465480879,0.0495541923621098,0.875840499923594
"Results_G_accuracy_At_1001/G_accuracy_202.csv",8,"MegaLMM",8,202,0.0991508623472737,0.0356250341213254,0.218912874257502,0.0665683927427872,0.0366012228919142,0.91749027282771
"Results_G_accuracy_At_1001/G_accuracy_202.csv",9,"MTG2",16,202,0.108665007334563,0.0512657624420984,0.560770938784947,0.126370492287164,0.0552522874319662,0.834485053563228
"Results_G_accuracy_At_1001/G_accuracy_202.csv",10,"MCMCglmm",16,202,0.24843884130899,0.0418375766586902,0.59422626732068,0.113359278246503,0.0340402241732417,0.936995690254834
"Results_G_accuracy_At_1001/G_accuracy_202.csv",11,"phenix",16,202,0.087722004555841,0.0595248988300595,0.639306421438379,0.0747864056147159,0.0426531523933273,0.921749274333842
"Results_G_accuracy_At_1001/G_accuracy_202.csv",12,"MegaLMM",16,202,0.0921859540043662,0.036139026938773,0.523891680438371,0.0617279512023147,0.0405690874334386,0.911831766062548
"Results_G_accuracy_At_1001/G_accuracy_202.csv",13,"MTG2",32,202,0.126164723064535,0.0430319459781351,0.476066752541719,0.21540962329239,0.081340620496091,0.628747422043724
"Results_G_accuracy_At_1001/G_accuracy_202.csv",14,"MCMCglmm",32,202,0.282293974315195,0.0464435646598026,0.545301140935533,0.111555701201224,0.035538102949263,0.938919292806432
"Results_G_accuracy_At_1001/G_accuracy_202.csv",15,"phenix",32,202,0.0955556657983951,0.0624003426661039,0.614960274423743,0.0639208495626438,0.0432118664479312,0.906063326027481
"Results_G_accuracy_At_1001/G_accuracy_202.csv",16,"MegaLMM",32,202,0.0797173882611062,0.0387368608049444,0.588863545953194,0.0440186812746591,0.0364708007084761,0.931985776437406
"Results_G_accuracy_At_1001/G_accuracy_202.csv",17,"MTG2",64,202,0.174437826274774,0.0497487399695183,0.306370841667055,0.240077897159022,0.0931444152679568,0.421717545688082
"Results_G_accuracy_At_1001/G_accuracy_202.csv",18,"MCMCglmm",64,202,0.342162516842389,0.0453868361454563,0.596206435038852,0.160723062170632,0.0360641759498979,0.940468919969135
"Results_G_accuracy_At_1001/G_accuracy_202.csv",19,"phenix",64,202,0.159530871060318,0.0649235792821142,0.63337051294745,0.0772304497214045,0.0422331215978729,0.90649077818926
"Results_G_accuracy_At_1001/G_accuracy_202.csv",20,"MegaLMM",64,202,0.0770385151934553,0.0354624133575396,0.731341322167628,0.0542279398383245,0.0344141389872617,0.938173002687306
"Results_G_accuracy_At_1001/G_accuracy_202.csv",21,"phenix",128,202,0.324830642067785,0.0861976350383752,0.622262141481245,0.0981019710840646,0.0435463923185443,0.88818459522937
"Results_G_accuracy_At_1001/G_accuracy_202.csv",22,"MegaLMM",128,202,0.0697421659594296,0.0363106447862186,0.812753891868475,0.0613532012486746,0.034062302141383,0.932978373767432
"Results_G_accuracy_At_1001/G_accuracy_203.csv",1,"MTG2",4,203,0.178210557514299,0.116306563745077,-0.714523529385206,0.0862813760886226,0.0762713392409549,0.717684638216937
"Results_G_accuracy_At_1001/G_accuracy_203.csv",2,"MCMCglmm",4,203,0.124030352143809,0.0512043993772045,-0.55867069210783,0.0610057354261166,0.0270340557488781,0.931148684335539
"Results_G_accuracy_At_1001/G_accuracy_203.csv",3,"phenix",4,203,0.14436948059742,0.116890453644219,-0.703709567636127,0.128619902473234,0.0764502978226844,0.748191415519455
"Results_G_accuracy_At_1001/G_accuracy_203.csv",4,"MegaLMM",4,203,0.11253444539891,0.034357628775358,-0.0569667816656629,0.0553755757234984,0.0432944223414055,0.93161351011462
"Results_G_accuracy_At_1001/G_accuracy_203.csv",5,"MTG2",8,203,0.144115268843037,0.0633086141526218,0.778507450045178,0.0782209501315091,0.0393093369616539,0.894443229955046
