"Trial","Name","Method","pearson","g_cor","fold","year","trt"
"2013-14
Optimal Bed","H","GBLUP",0.387852174948434,0.605671682230104,1,"2013-14","Optimal Bed"
"2013-14
Optimal Bed","H","HBLUP",0.530404377756986,0.452395617605706,1,"2013-14","Optimal Bed"
"2013-14
Optimal Bed","H","GBLUP+H",0.563190734974001,0.592856587824679,1,"2013-14","Optimal Bed"
"2013-14
Optimal Bed","H_fold_2.csv","GBLUP",0.331374677310129,0.448874195690923,2,"2013-14","Optimal Bed"
"2013-14
Optimal Bed","H_fold_2.csv","HBLUP",0.449864905583414,0.312568229872789,2,"2013-14","Optimal Bed"
"2013-14
Optimal Bed","H_fold_2.csv","GBLUP+H",0.491405093496137,0.409990593717732,2,"2013-14","Optimal Bed"
"2013-14
Optimal Bed","H_fold_3.csv","GBLUP",0.312133974900709,0.394257855794811,3,"2013-14","Optimal Bed"
"2013-14
Optimal Bed","H_fold_3.csv","HBLUP",0.446928418900221,0.30224584193893,3,"2013-14","Optimal Bed"
"2013-14
Optimal Bed","H_fold_3.csv","GBLUP+H",0.490970571596081,0.431638071686845,3,"2013-14","Optimal Bed"
"2013-14
Optimal Bed","H_fold_4.csv","GBLUP",0.333948901201421,0.380873183062997,4,"2013-14","Optimal Bed"
"2013-14
Optimal Bed","H_fold_4.csv","HBLUP",0.446941916789973,0.354904580995712,4,"2013-14","Optimal Bed"
"2013-14
Optimal Bed","H_fold_4.csv","GBLUP+H",0.489387279405976,0.40629957548162,4,"2013-14","Optimal Bed"
"2013-14
Optimal Bed","H_fold_5.csv","GBLUP",0.286713495782751,0.160523985816251,5,"2013-14","Optimal Bed"
"2013-14
Optimal Bed","H_fold_5.csv","HBLUP",0.416816363192936,0.380486005777862,5,"2013-14","Optimal Bed"
"2013-14
Optimal Bed","H_fold_5.csv","GBLUP+H",0.456644716440334,0.43182267772016,5,"2013-14","Optimal Bed"
"2013-14
Optimal Bed","MegaLMM","MegaLMM
GBLUP",0.675928216281826,0.611290676993284,1,"2013-14","Optimal Bed"
"2013-14
Optimal Bed","MegaLMM_fold_2.csv","MegaLMM
GBLUP",0.595381811161519,0.549981745418668,2,"2013-14","Optimal Bed"
"2013-14
Optimal Bed","MegaLMM_fold_3.csv","MegaLMM
GBLUP",0.647014379258359,0.563883233879157,3,"2013-14","Optimal Bed"
"2013-14
Optimal Bed","MegaLMM_fold_4.csv","MegaLMM
GBLUP",0.620901811046917,0.470625376081921,4,"2013-14","Optimal Bed"
"2013-14
Optimal Bed","MegaLMM_fold_5.csv","MegaLMM
GBLUP",0.625092568472014,0.354916202103065,5,"2013-14","Optimal Bed"
"2013-14
Optimal Bed","MegaLMM_no2nd","MegaLMM
GBLUP CV1",0.505529512967355,0.458453347107661,1,"2013-14","Optimal Bed"
"2013-14
Optimal Bed","MegaLMM_no2nd_fold_2.csv","MegaLMM
GBLUP CV1",0.453303840076376,0.40457157070255,2,"2013-14","Optimal Bed"
"2013-14
Optimal Bed","MegaLMM_no2nd_fold_3.csv","MegaLMM
GBLUP CV1",0.472697065294114,0.431341784068245,3,"2013-14","Optimal Bed"
"2013-14
Optimal Bed","MegaLMM_no2nd_fold_4.csv","MegaLMM
GBLUP CV1",0.486290098161131,0.356338863351119,4,"2013-14","Optimal Bed"
"2013-14
Optimal Bed","MegaLMM_no2nd_fold_5.csv","MegaLMM
GBLUP CV1",0.463080109523767,0.192477773261716,5,"2013-14","Optimal Bed"
"2013-14
Optimal Bed","MegaLMM_RKHS","MegaLMM
RKHS",0.792848269415353,0.633452168180221,1,"2013-14","Optimal Bed"
"2013-14
Optimal Bed","MegaLMM_RKHS_fold_2.csv","MegaLMM
RKHS",0.638275996788496,0.575725205002936,2,"2013-14","Optimal Bed"
"2013-14
Optimal Bed","MegaLMM_RKHS_fold_3.csv","MegaLMM
RKHS",0.724912740751192,0.516888815747379,3,"2013-14","Optimal Bed"
"2013-14
Optimal Bed","MegaLMM_RKHS_fold_4.csv","MegaLMM
RKHS",0.786864670723518,0.582310095055349,4,"2013-14","Optimal Bed"
"2013-14
Optimal Bed","MegaLMM_RKHS_fold_5.csv","MegaLMM
RKHS",0.63857256364594,0.44014450926217,5,"2013-14","Optimal Bed"
"2013-14
Optimal Bed","univariate","RKHS",0.563671655581563,0.524117488368727,1,"2013-14","Optimal Bed"
