"Method","pearson","g_cor","fold"
"HBLUP",0.583531541841943,0.509037392854986,6
"GBLUP+H",0.605369428670295,0.596450770221988,6
"GBLUP",0.383207667599106,0.394214693702613,7
"HBLUP",0.646796640375668,0.608562693034264,7
"GBLUP+H",0.6590409682249,0.668765189807725,7
"GBLUP",0.38114079108775,0.329923350778918,8
"HBLUP",0.644791870683636,0.671569486554324,8
"GBLUP+H",0.647726205090014,0.686428603272391,8
"GBLUP",0.449950324084119,0.432865422026327,9
"HBLUP",0.707116525393563,0.66033568839944,9
"GBLUP+H",0.721161446289585,0.674754393798662,9
"MegaLMM
GBLUP CV1",0.495121874948179,0.493671620538078,1
"MegaLMM
GBLUP CV1",0.614101906706456,0.478136778322757,10
"MegaLMM
GBLUP CV1",0.672333534016114,0.360405917138992,11
"MegaLMM
GBLUP CV1",0.55518239452129,0.549326727290715,12
"MegaLMM
GBLUP CV1",0.595318121165478,0.565099273197914,13
"MegaLMM
GBLUP CV1",0.551078329158364,0.489258499490952,14
"MegaLMM
GBLUP CV1",0.592568728545358,0.477439841946173,15
"MegaLMM
GBLUP CV1",0.566099223891344,0.394061096829036,16
"MegaLMM
GBLUP CV1",0.58058508741915,0.485354780820893,17
"MegaLMM
GBLUP CV1",0.570362208385777,0.395585068573098,18
"MegaLMM
GBLUP CV1",0.708029328408954,0.671644867691961,19
"MegaLMM
GBLUP CV1",0.563467349980841,0.422815353870347,2
"MegaLMM
GBLUP CV1",0.6149661326163,0.484815526038297,20
"MegaLMM
GBLUP CV1",0.536110078161891,0.439330887699186,3
"MegaLMM
GBLUP CV1",0.677330888725705,0.615745497137088,4
"MegaLMM
GBLUP CV1",0.578975707152476,0.501522269502219,5
"MegaLMM
GBLUP CV1",0.536485217628713,0.302655582464728,6
"MegaLMM
GBLUP CV1",0.55198106628885,0.39267530782795,7
"MegaLMM
GBLUP CV1",0.682119197074963,0.610570769519857,8
"MegaLMM
GBLUP CV1",0.57852783867278,0.570093362791603,9
"RKHS",0.458493542629672,0.53226861694833,1
"Bayesian
Lasso",0.444738011638243,0.506778868982783,1
"RKHS",0.462026794760902,0.380079867546324,10
"Bayesian
Lasso",0.428141200286712,0.350378950836675,10
"RKHS",0.458469281810291,0.360836384074291,11
"Bayesian
Lasso",0.447658449130226,0.410305142859373,11
"RKHS",0.519981564670078,0.64762161833129,12
"Bayesian
Lasso",0.491600553621168,0.703949892392418,12
"RKHS",0.52962196943021,0.431487258743361,13
"Bayesian
Lasso",0.498942722187435,0.375961600979511,13
"RKHS",0.472660288716772,0.523101165420683,14
"Bayesian
Lasso",0.43918405440396,0.458224986705679,14
"RKHS",0.548035379462448,0.445751652084912,15
"Bayesian
Lasso",0.520085985169058,0.384618094989424,15
"RKHS",0.523544890035673,0.537663617133344,16
"Bayesian
Lasso",0.504050973327686,0.489250355923145,16
"RKHS",0.507248029664994,0.625038836589278,17
"Bayesian
Lasso",0.473976977508056,0.546359467263007,17
"RKHS",0.449114990944666,0.473813008650097,18
"Bayesian
Lasso",0.417623100327822,0.457482455883648,18
"RKHS",0.52087782898323,0.600453271255886,19
"Bayesian
Lasso",0.501466052072387,0.688810257407225,19
"RKHS",0.496444571016434,0.704597557653333,2
"Bayesian
Lasso",0.469054771493212,0.679377237279821,2
"RKHS",0.608038765976926,0.405518286041106,20
"Bayesian
Lasso",0.569598027245524,0.375398330691795,20
"RKHS",0.505372049479426,0.503510214465295,3
"Bayesian
Lasso",0.477470643823739,0.482321774871327,3
"RKHS",0.480588770500829,0.351894551034383,4
"Bayesian
Lasso",0.490808094716049,0.375894573340771,4
"RKHS",0.443894746395038,0.391572957262802,5
"Bayesian
Lasso",0.403087078260358,0.333540073217623,5
"RKHS",0.502406945025082,0.564570813822372,6
"Bayesian
Lasso",0.473053370531344,0.506729702731765,6
"RKHS",0.541130649301458,0.475039472986019,7
"Bayesian
Lasso",0.51252367306358,0.439557567024596,7
"RKHS",0.568993320509002,0.406011216448658,8
"Bayesian
Lasso",0.55433775879671,0.359469293950855,8
"RKHS",0.494151208731468,0.523675674042556,9
"Bayesian
Lasso",0.495896424258486,0.504600545724384,9
