"wavelength","date","G_cor_low","G_cor_high","G_cor_mean","P_cor"
398,"10-Jan",-0.190130823664127,0.0129082695160729,-0.0815315233261817,-0.120748158324212
405,"10-Jan",-0.117429919875721,0.0752513203443319,-0.0251376732089851,-0.0591325029293167
412,"10-Jan",-0.0765675758059069,0.0831862695160955,0.00223659654717452,-0.0220712371746381
420,"10-Jan",-0.139431383083212,0.0147774341996596,-0.0630420981721271,0.0381004709066912
427,"10-Jan",-0.0845053124131977,0.0716029421030686,-0.00653792933172769,0.0283284676103931
434,"10-Jan",-0.0571282355015323,0.0717156689883592,0.00461222418695994,0.0525380056076499
442,"10-Jan",-0.0317269212680394,0.0885579091102763,0.0218855879910199,0.0899141032687838
449,"10-Jan",-0.0707826200725808,0.0494860812161206,-0.0105925960893847,0.0888024512801427
457,"10-Jan",-0.0451121088139567,0.0719727115391305,0.00875997114653646,0.0916882875284515
464,"10-Jan",-0.0620014054054484,0.0510939013249413,-0.00590123405097899,0.0672697982442077
471,"10-Jan",-0.0351830026357482,0.0720900781695313,0.0213293568325013,0.0727878264713565
479,"10-Jan",-0.0224502363380453,0.0812312705436659,0.025407487137408,0.082361085309511
486,"10-Jan",-0.0459528815254742,0.057631094309978,0.0023975433648547,0.0755882532137009
493,"10-Jan",-0.0488668456206373,0.0535743187693369,0.00625057421810153,0.0712794426536385
501,"10-Jan",-0.0384630525242389,0.0641285731614883,0.0115938590266783,0.0694163177541237
508,"10-Jan",-0.0571889435019051,0.0424811871848803,-0.00382901573856504,0.0552815534431084
515,"10-Jan",-0.0596324815667172,0.0500872004631759,-0.0051436014888651,0.0571031445970631
523,"10-Jan",-0.0639521556471246,0.0605765907383995,0.000641523054367922,0.0661443190386657
530,"10-Jan",-0.0775173170897436,0.0583723541977686,-0.0126391866491927,0.062195222574438
538,"10-Jan",-0.090128092677099,0.0513717188988106,-0.0197037005877396,0.060525079597287
545,"10-Jan",-0.0942054735490128,0.0494793384262462,-0.0193453840408114,0.0521694810430153
552,"10-Jan",-0.0946072691257506,0.043665399480911,-0.0272583001533287,0.045648457047258
560,"10-Jan",-0.0971345220522409,0.0374570180574399,-0.0301829074708793,0.0368885759385833
567,"10-Jan",-0.0990937271564867,0.0265063988345044,-0.0376832717885577,0.0275097211557105
574,"10-Jan",-0.100671885738674,0.0150446701695047,-0.0440391283389684,0.0194750452436479
582,"10-Jan",-0.10060293910342,0.0107429777390784,-0.0452152857819611,0.0154744067138462
589,"10-Jan",-0.105933835962614,0.00369582322292385,-0.0488809061520576,0.00755026749187355
596,"10-Jan",-0.102752321653843,0.00603051386804083,-0.049402849438103,0.0053813105981377
604,"10-Jan",-0.0997163641890446,0.00521312813011314,-0.045487172022041,0.00199989906627312
611,"10-Jan",-0.108087563395024,-0.00223530338212209,-0.0501497413552428,-0.000408533737733697
619,"10-Jan",-0.10816498155667,-0.00504750722928399,-0.0524786447611197,-0.00107774066015657
626,"10-Jan",-0.105291777716901,0.000371526851234405,-0.0540028452535585,0.000249918901184308
633,"10-Jan",-0.10230136039502,-0.000764163991994239,-0.0475781320847561,0.00011083188212853
641,"10-Jan",-0.0985621124543803,0.00340573457103924,-0.0473604530176876,-0.00273814584858123
648,"10-Jan",-0.102675895297383,7.42878657777459e-05,-0.0501769725863719,-0.0060435768083889
655,"10-Jan",-0.106228516215505,-0.00621136239604559,-0.0514441518391861,-0.00440665353227042
663,"10-Jan",-0.0929152774938291,0.00572691825759361,-0.0452307933013437,-0.00472354335228621
670,"10-Jan",-0.0969342747080368,0.0017284383243157,-0.0455115019253337,-0.00161293224575922
678,"10-Jan",-0.0935704620562483,0.00544026939373054,-0.0469496191753929,-0.00420490223385353
685,"10-Jan",-0.0989176576872034,0.00100257881441412,-0.0484620413785561,-0.00745290808429064
692,"10-Jan",-0.118049246824046,-0.010385008895693,-0.060290379092902,-0.00720767298266
700,"10-Jan",-0.135815462580616,-0.0104125580675295,-0.0698575202579244,-0.00642592270047929
707,"10-Jan",-0.13547046428393,0.0152896647393528,-0.0605698223617916,0.00168013064245697
714,"10-Jan",-0.11151117088631,0.0452024674723412,-0.0309640410974782,0.0187613360466204
722,"10-Jan",-0.0835355313990648,0.0637982454831542,-0.00512772154238606,0.0269342272710934
